incident_id,country,first_fy,last_fy,n_alerts,kind,max_abs_z,severity,summary
Honduras FY2020,Honduras,2020,2020,1,single,4.4,medium,"Honduras FY2020: year-over-year change of +804% is above the expected range -83% to +333% (learned from FY2010-2019, where a typical year was -14%); that is 4.4 robust sigmas from the typical year (limits sit at 3), so 1.4 beyond the +333% limit."
Papua New Guinea FY2022-2023,Papua New Guinea,2022,2023,2,spike_and_reversal,4.4,medium,Papua New Guinea: FY2022 moved +632% and FY2023 moved -71% straight back - most likely ONE unusual year (FY2022); check that year's level first.
Guyana FY2025,Guyana,2025,2025,1,single,4.3,medium,"Guyana FY2025: year-over-year change of -93% is below the expected range -82% to +909% (learned from FY2010-2019, where a typical year was +35%); that is 4.3 robust sigmas from the typical year (limits sit at 3), so 1.3 beyond the -82% limit."
Niger FY2024-2025,Niger,2024,2025,2,spike_and_reversal,4.2,medium,Niger: FY2024 moved -80% and FY2025 moved +303% straight back - most likely ONE unusual year (FY2024); check that year's level first.
Bangladesh FY2020,Bangladesh,2020,2020,1,single,4.1,medium,"Bangladesh FY2020: year-over-year change of -29% is below the expected range -19% to +66% (learned from FY2010-2019, where a typical year was +16%); that is 4.1 robust sigmas from the typical year (limits sit at 3), so 1.1 beyond the -19% limit."
Papua New Guinea FY2020,Papua New Guinea,2020,2020,1,single,4.1,medium,"Papua New Guinea FY2020: year-over-year change of -81% is below the expected range -69% to +303% (learned from FY2010-2019, where a typical year was +11%); that is 4.1 robust sigmas from the typical year (limits sit at 3), so 1.1 beyond the -69% limit."
"Yemen, Republic of FY2020","Yemen, Republic of",2020,2020,1,single,4.0,medium,"Yemen, Republic of FY2020: year-over-year change of -89% is below the expected range -81% to +718% (learned from FY2010-2019, where a typical year was +25%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -81% limit."
Mali FY2023,Mali,2023,2023,1,single,4.0,medium,"Mali FY2023: year-over-year change of +106% is above the expected range -49% to +67% (learned from FY2010-2019, where a typical year was -8%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +67% limit."
Kenya FY2025-2026,Kenya,2025,2026,2,spike_and_reversal,4.0,medium,Kenya: FY2025 moved -26% and FY2026 moved +71% straight back - most likely ONE unusual year (FY2025); check that year's level first.
Kenya FY2021-2022,Kenya,2021,2022,2,two_year_move,3.9,medium,"Kenya: two unusual years in the same direction, FY2021 -24% and FY2022 -26% - a two-step change rather than a one-off."
Dominica FY2026,Dominica,2026,2026,1,single,3.6,medium,"Dominica FY2026: year-over-year change of -84% is below the expected range -78% to +461% (learned from FY2010-2019, where a typical year was +11%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -78% limit."
Rwanda FY2026,Rwanda,2026,2026,1,single,3.6,medium,"Rwanda FY2026: year-over-year change of -39% is below the expected range -32% to +91% (learned from FY2010-2019, where a typical year was +14%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -32% limit."
Mali FY2020,Mali,2020,2020,1,single,3.4,medium,"Mali FY2020: year-over-year change of +82% is above the expected range -49% to +67% (learned from FY2010-2019, where a typical year was -8%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the +67% limit."
Sri Lanka FY2026,Sri Lanka,2026,2026,1,single,3.4,medium,"Sri Lanka FY2026: year-over-year change of -59% is below the expected range -55% to +99% (learned from FY2010-2019, where a typical year was -5%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the -55% limit."
Kiribati FY2020,Kiribati,2020,2020,1,single,3.4,medium,"Kiribati FY2020: year-over-year change of -87% is below the expected range -84% to +936% (learned from FY2010-2019, where a typical year was +31%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the -84% limit."
St. Vincent and the Grenadines FY2020,St. Vincent and the Grenadines,2020,2020,1,single,3.3,medium,"St. Vincent and the Grenadines FY2020: year-over-year change of +1594% is above the expected range -91% to +1262% (learned from FY2010-2019, where a typical year was +13%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +1262% limit."
Maldives FY2020,Maldives,2020,2020,1,single,3.3,medium,"Maldives FY2020: year-over-year change of +679% is above the expected range -90% to +514% (learned from FY2010-2019, where a typical year was -22%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +514% limit."
Western Africa FY2021,Western Africa,2021,2021,1,single,3.3,medium,"Western Africa FY2021: year-over-year change of +668% is above the expected range -84% to +523% (learned from FY2010-2019, where a typical year was +0%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +523% limit."
Mauritania FY2020,Mauritania,2020,2020,1,single,3.3,medium,"Mauritania FY2020: year-over-year change of +148% is above the expected range -66% to +123% (learned from FY2010-2019, where a typical year was -14%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +123% limit."
Nepal FY2026,Nepal,2026,2026,1,single,3.2,medium,"Nepal FY2026: year-over-year change of -59% is below the expected range -56% to +197% (learned from FY2010-2019, where a typical year was +14%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -56% limit."
Cote d'Ivoire FY2022,Cote d'Ivoire,2022,2022,1,single,3.2,medium,"Cote d'Ivoire FY2022: year-over-year change of -42% is below the expected range -40% to +156% (learned from FY2010-2019, where a typical year was +24%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -40% limit."
Cote d'Ivoire FY2026,Cote d'Ivoire,2026,2026,1,single,3.1,medium,"Cote d'Ivoire FY2026: year-over-year change of -40% is below the expected range -40% to +156% (learned from FY2010-2019, where a typical year was +24%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -40% limit."
Kyrgyz Republic FY2023,Kyrgyz Republic,2023,2023,1,single,3.1,medium,"Kyrgyz Republic FY2023: year-over-year change of +89% is above the expected range -44% to +84% (learned from FY2010-2019, where a typical year was +1%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the +84% limit."
India FY2026,India,2026,2026,1,single,3.1,medium,"India FY2026: year-over-year change of -52% is below the expected range -52% to +79% (learned from FY2010-2019, where a typical year was -7%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -52% limit."
Azerbaijan FY2020-2026,Azerbaijan,2020,2026,7,persistent,0.1,medium,"Azerbaijan: flagged in 7 consecutive years FY2020-FY2026 (+0%, +0%, +0%, +0%, +0%, +0%, +0%). The FY2010-2019 baseline no longer describes this country - treat as one regime change and re-fit its limits, not as 7 separate investigations."
